,Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Symbol,Sector,Industry
155,2011-11-28,24.721966394576963,24.76442065881368,24.29743454864036,24.48139762878418,720800,0.0,0,AFG,Finance,Property-Casualty Insurers
156,2011-11-29,24.55215424183918,24.70781447602653,24.318659841896764,24.51677703857422,423300,0.0,0,AFG,Finance,Property-Casualty Insurers
157,2011-11-30,26.17244211701957,26.17244211701957,25.104033311564606,25.471961975097656,876100,0.0,0,AFG,Finance,Property-Casualty Insurers
158,2011-12-01,25.330460477446152,25.422443354208607,25.082817385132532,25.111120223999023,395000,0.0,0,AFG,Finance,Property-Casualty Insurers
159,2011-12-02,25.34461533906497,25.613486946598957,25.174803681017558,25.273860931396484,760000,0.0,0,AFG,Finance,Property-Casualty Insurers
160,2011-12-05,25.613485437364307,25.910657170990728,25.464899570551093,25.73376846313477,484300,0.0,0,AFG,Finance,Property-Casualty Insurers
161,2011-12-06,25.6205412704702,25.78327844012072,25.571012684015926,25.67714691162109,661700,0.0,0,AFG,Finance,Property-Casualty Insurers
162,2011-12-07,25.648860780454477,26.10169540789361,25.436594886230804,26.030941009521484,471900,0.0,0,AFG,Finance,Property-Casualty Insurers
163,2011-12-08,25.83989761721779,25.83989761721779,25.2597029870202,25.302154541015625,645700,0.0,0,AFG,Finance,Property-Casualty Insurers
164,2011-12-09,25.372917875857617,25.974338431111413,25.33046361230381,25.86112976074219,459100,0.0,0,AFG,Finance,Property-Casualty Insurers
165,2011-12-12,25.53565426387982,25.54980568456181,25.238479827772995,25.457822799682614,485900,0.0,0,AFG,Finance,Property-Casualty Insurers
166,2011-12-13,25.663006061578752,25.81866893969295,25.089885855063702,25.19602012634277,399700,0.0,0,AFG,Finance,Property-Casualty Insurers
167,2011-12-14,25.054517949051966,25.51442969622003,25.01914074521772,25.273860931396484,425600,0.0,0,AFG,Finance,Property-Casualty Insurers
168,2011-12-15,25.556873014272107,25.726687316630066,25.49319298827622,25.51442146301269,404500,0.0,0,AFG,Finance,Property-Casualty Insurers
169,2011-12-16,25.549799810941106,25.82574570303423,25.28800533627671,25.34460830688477,803400,0.0,0,AFG,Finance,Property-Casualty Insurers
170,2011-12-19,25.45074169045453,25.578101743714555,25.047435754833398,25.06158447265625,428800,0.0,0,AFG,Finance,Property-Casualty Insurers
171,2011-12-20,25.47905166784661,25.91066060405896,25.46490294455806,25.882360458374023,457300,0.0,0,AFG,Finance,Property-Casualty Insurers
172,2011-12-21,25.797431051955126,26.17951105020291,25.790356696034532,26.080453872680664,454800,0.0,0,AFG,Finance,Property-Casualty Insurers
